Loopline Bridge	loc	said	ref	Mr B
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold BLoom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	Saint
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	Novel
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	saying
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	Novel
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Earl Cadogan
Loopline Bridge	loc	said	ref	Elderly
Loopline Bridge	loc	said	ref	Townclerk
Loopline Bridge	loc	said	ref	Seafarer
Loopline Bridge	loc	reference	ref	Novel
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	Italian
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	Italain
Loopline Bridge	loc	reference	ref	Novel
Loopline Bridge	loc	reference	ref	German Song
Loopline Bridge	loc	reference	ref	German Song
Loopline Bridge	loc	reference	ref	German
Loopline Bridge	loc	reference	ref	conversation
